accX,accY,accZ,gyrX,gyrY,gyrZ
0.12,-0.04,-1.13,12.08,-61.71,16.24
0.18,-0.08,-1.13,12.08,-61.71,16.24
0.20,-0.07,-1.17,-6.96,-74.34,20.51
0.20,-0.07,-1.17,-6.96,-74.34,20.51
0.16,-0.05,-0.99,-25.88,-93.26,23.68
0.16,-0.05,-0.74,-43.52,-99.00,25.27
0.13,0.02,-0.73,-43.52,-99.00,25.27
0.14,0.11,-0.60,-51.03,-88.93,27.40
0.14,0.11,-0.60,-51.03,-88.93,27.40
0.17,0.19,-0.59,-50.54,-75.01,26.49
0.17,0.19,-0.59,-40.04,-65.61,22.34
0.19,0.23,-0.59,-40.04,-65.61,22.34
0.20,0.21,-0.58,-19.35,-62.87,17.27
0.20,0.21,-0.58,-19.35,-62.87,17.27
0.20,0.18,-0.58,-1.46,-55.85,12.33
0.20,0.18,-0.58,9.77,-42.24,7.08
0.23,0.16,-0.63,9.77,-42.24,7.08
0.25,0.13,-0.70,16.36,-29.42,2.44
0.25,0.13,-0.70,16.36,-29.42,2.44
0.26,0.07,-0.77,18.25,-18.31,-1.71
0.26,0.07,-0.77,18.25,-18.31,-1.71
0.27,-0.03,-0.88,16.05,-7.93,-4.33
0.31,-0.09,-0.96,8.48,-1.40,-3.11
0.31,-0.09,-0.96,8.48,-1.40,-3.11
0.34,-0.03,-1.01,-4.76,-0.79,3.05
0.34,-0.03,-1.01,-4.76,-0.79,3.05
0.36,0.04,-1.00,-13.18,-4.64,8.24
0.36,0.08,-0.99,-16.05,-7.26,8.79
0.36,0.08,-0.99,-16.05,-7.26,8.79
0.38,0.08,-1.01,-18.62,-4.64,4.88
0.38,0.08,-1.01,-18.62,-4.64,4.88
0.39,0.05,-1.02,-21.48,-0.67,0.18
0.39,0.05,-1.02,-22.95,2.56,-2.38
0.39,0.04,-1.00,-22.95,2.56,-2.38
0.38,0.07,-0.97,-22.95,6.16,-3.36
0.38,0.07,-0.97,-22.95,6.16,-3.36
0.36,0.08,-0.93,-19.78,11.11,-4.64
0.36,0.08,-0.93,-19.78,17.88,-7.32
0.32,0.06,-0.93,-13.67,17.88,-7.32
0.31,0.01,-0.98,-8.36,27.59,-10.50
0.31,0.01,-0.98,-8.36,27.59,-10.50
0.31,-0.02,-1.03,-3.60,33.26,-10.25
0.31,-0.02,-1.03,-3.60,33.26,-7.08
0.30,-0.05,-1.05,2.01,33.20,-7.08
0.29,-0.05,-1.07,7.69,30.70,-2.44
0.29,-0.05,-1.07,7.69,30.70,-2.44
0.30,-0.02,-1.12,9.95,28.81,3.05
0.30,-0.02,-1.12,9.95,28.81,3.05
0.32,-0.00,-1.16,10.31,27.40,6.47
0.32,0.02,-1.16,9.70,22.77,7.51
0.32,0.02,-1.16,9.70,22.77,7.51
0.32,0.04,-1.13,8.91,16.30,6.35
0.32,0.04,-1.13,8.91,16.30,6.35
0.30,0.03,-1.09,8.36,10.93,4.52
0.30,0.03,-1.09,8.36,10.93,3.48
0.29,-0.00,-1.05,8.85,7.39,3.48
0.29,0.02,-1.05,8.61,4.33,5.43
0.29,0.02,-1.05,8.61,4.33,5.43
0.29,0.06,-1.05,8.91,1.77,7.51
0.29,0.06,-1.05,8.91,1.77,7.51
0.30,0.10,-1.03,9.58,-0.18,7.14
0.30,0.10,-1.03,9.58,-2.56,3.72
0.29,0.13,-0.99,10.62,-2.56,3.72
0.28,0.11,-0.97,12.76,-3.11,-2.01
0.28,0.11,-0.97,12.76,-3.11,-2.01
0.26,0.04,-0.97,15.01,-1.65,-6.10
0.26,0.04,-0.97,15.01,-1.65,-6.10
0.25,-0.02,-0.98,16.05,-0.31,-5.80
0.25,-0.03,-0.98,15.63,0.43,-0.92
0.25,-0.03,-0.98,15.63,0.43,-0.92
0.25,0.01,-0.99,14.53,1.10,5.62
0.25,0.01,-0.99,14.53,1.10,5.62
0.26,0.06,-0.99,11.84,2.32,8.48
0.26,0.06,-0.99,9.77,3.42,6.35
0.26,0.07,-1.01,9.77,3.42,6.35
0.26,0.12,-1.00,6.96,3.85,2.75
0.26,0.12,-1.00,6.96,3.85,2.75
0.25,0.16,-0.98,5.80,1.28,-3.36
0.25,0.16,-0.98,5.80,1.28,-3.36
0.23,0.13,-0.94,5.49,0.31,-11.66
0.23,0.06,-0.90,3.66,4.03,-18.37
0.20,0.06,-0.90,3.66,4.03,-18.37

-0.59,0.31,-1.86,90.39,430.85,-4.27
-0.59,0.31,-1.86,90.39,430.85,-4.27
-0.55,0.21,-2.30,122.92,375.92,6.23
-0.39,0.17,-2.63,120.97,315.19,11.17
-0.40,0.17,-2.63,120.97,315.19,11.17
-0.29,0.19,-2.77,105.41,241.09,17.40
-0.29,0.19,-2.77,105.41,241.09,17.40
-0.24,0.15,-2.68,78.86,167.72,18.68
-0.24,0.15,-2.68,47.61,101.93,18.74
-0.26,0.10,-2.46,47.42,101.93,18.74
-0.27,0.11,-2.27,18.80,53.34,20.32
-0.27,0.11,-2.27,18.80,53.34,20.32
-0.25,0.09,-2.08,-3.05,18.62,20.20
-0.25,0.09,-2.08,-3.05,18.62,20.20
-0.27,0.07,-1.83,-20.26,-10.86,19.65
-0.27,0.07,-1.63,-34.00,-32.35,19.71
-0.27,0.09,-1.63,-34.00,-32.35,19.71
-0.24,0.12,-1.50,-40.16,-48.83,19.23
-0.24,0.12,-1.50,-40.16,-48.83,19.23
-0.23,0.13,-1.38,-36.44,-66.10,18.86
-0.23,0.13,-1.30,-28.87,-80.51,18.25
-0.22,0.12,-1.30,-28.87,-80.51,18.25
-0.21,0.10,-1.24,-20.63,-93.14,17.27
-0.21,0.10,-1.24,-20.63,-93.14,17.27
-0.21,0.08,-1.15,-13.61,-104.31,16.66
-0.21,0.05,-1.08,-10.99,-107.73,15.81
-0.22,0.05,-1.08,-10.99,-107.73,15.81
-0.21,0.02,-1.05,-9.16,-105.41,14.65
-0.21,0.02,-1.05,-9.16,-105.41,14.65
-0.19,-0.04,-1.06,-6.53,-105.65,14.77
-0.16,-0.07,-1.09,-6.23,-107.67,17.21
-0.16,-0.07,-1.09,-6.23,-107.67,17.21
-0.14,-0.06,-1.07,-10.74,-109.74,21.18
-0.14,-0.06,-1.07,-10.74,-109.74,24.72
-0.15,-0.06,-1.01,-17.09,-111.51,24.72
-0.15,-0.07,-0.94,-22.40,-111.88,27.04
-0.15,-0.07,-0.94,-22.40,-111.88,27.04
-0.16,-0.06,-0.88,-28.56,-110.17,28.50
-0.16,-0.06,-0.79,-28.99,-109.01,31.56
-0.17,-0.06,-0.79,-28.99,-109.01,31.56
-0.15,-0.05,-0.75,-20.39,-101.62,35.89
-0.15,-0.05,-0.75,-20.39,-101.62,35.89
-0.13,-0.05,-0.77,-12.57,-93.57,38.51
-0.14,-0.03,-0.78,-3.97,-89.42,40.77
-0.14,-0.03,-0.78,-3.97,-89.42,40.77
-0.17,-0.04,-0.82,4.94,-89.72,41.44
-0.17,-0.04,-0.82,4.94,-89.72,42.36
-0.19,-0.08,-0.85,15.63,-94.36,42.36
-0.17,-0.05,-0.86,25.09,-100.04,48.77
-0.17,-0.05,-0.86,25.09,-100.04,48.77
-0.14,-0.01,-0.91,27.71,-103.52,58.78
-0.14,-0.01,-0.91,27.71,-109.31,65.37
-0.10,0.02,-0.97,19.53,-109.31,65.37
-0.09,0.08,-0.96,2.50,-118.29,68.05
-0.09,0.08,-0.96,2.50,-118.29,68.05
-0.09,0.13,-0.91,-18.37,-123.05,66.35
-0.09,0.13,-0.91,-18.37,-123.05,59.81
-0.11,0.19,-0.84,-41.44,-120.42,59.81
-0.14,0.21,-0.69,-57.92,-115.30,49.87
-0.14,0.21,-0.69,-57.92,-115.30,49.87
-0.17,0.19,-0.56,-60.67,-107.97,41.87
-0.17,0.19,-0.56,-60.67,-107.97,34.97
-0.19,0.18,-0.48,-52.67,-97.60,34.97
-0.18,0.09,-0.51,-23.38,-87.28,36.56
-0.18,0.09,-0.51,-23.38,-87.28,36.56
-0.15,0.08,-0.67,7.75,-77.21,48.03
-0.15,0.08,-0.67,23.38,-72.20,61.16
-0.13,0.07,-0.92,25.76,-72.20,61.16
-0.07,0.09,-1.12,21.48,-70.07,67.20
-0.07,0.09,-1.12,21.48,-70.07,67.20
0.01,0.17,-1.17,1.04,-71.66,68.30
0.01,0.17,-1.17,1.04,-71.66,68.30
0.07,0.27,-1.06,-18.86,-77.39,64.15
0.11,0.33,-0.86,-29.42,-82.28,52.55
0.11,0.33,-0.86,-29.42,-82.28,52.55
0.15,0.36,-0.66,-23.99,-85.08,40.22
0.15,0.36,-0.66,-23.99,-85.08,40.22
0.14,0.37,-0.55,-3.85,-87.40,29.72
0.11,0.29,-0.50,29.36,-88.87,21.48
0.09,0.29,-0.50,29.36,-88.87,21.48
0.04,0.11,-0.58,70.98,-82.28,17.88
0.04,0.11,-0.58,70.98,-82.28,17.88
0.04,0.01,-0.75,88.87,-66.28,17.46
0.04,0.01,-0.75,91.80,-52.49,21.79
0.05,-0.03,-0.89,91.80,-52.49,21.79
0.05,-0.06,-0.95,90.82,-46.51,27.40
0.05,-0.06,-0.95,90.82,-46.51,27.40
0.13,0.00,-0.96,81.18,-42.18,37.72
0.13,0.00,-0.96,81.18,-42.18,37.72
0.21,0.13,-0.97,67.63,-38.76,50.48
0.21,0.24,-0.96,55.48,-40.04,56.09
0.30,0.24,-0.96,55.48,-40.04,56.09
0.39,0.38,-0.90,44.80,-44.37,55.30
0.39,0.38,-0.90,44.80,-44.37,55.30
0.41,0.51,-0.82,40.47,-47.91,47.12
0.41,0.51,-0.82,40.47,-49.80,29.91
0.41,0.55,-0.72,43.95,-49.80,29.91
0.34,0.50,-0.63,51.94,-48.83,9.77
0.34,0.50,-0.63,51.94,-48.83,9.77
0.23,0.35,-0.59,61.52,-41.26,-6.90
0.23,0.35,-0.59,61.52,-41.26,-6.90
0.19,0.18,-0.66,66.47,-21.61,-14.83
0.23,0.13,-0.82,62.07,-2.26,-10.07
0.22,0.13,-0.82,62.07,-2.26,-10.07
0.29,0.16,-0.97,54.38,8.24,0.61
0.29,0.16,-0.97,54.38,8.24,0.61
0.38,0.18,-1.07,48.10,8.97,9.22
0.38,0.18,-1.07,32.47,1.95,14.40
0.45,0.21,-1.08,41.87,1.95,14.40
0.49,0.25,-1.04,36.68,-6.04,15.69
0.49,0.25,-1.04,36.68,-6.04,15.69
0.53,0.31,-0.97,32.29,-10.68,12.39
0.53,0.31,-0.97,32.29,-10.68,12.39
0.54,0.33,-0.92,34.18,-13.37,6.65
0.54,0.33,-0.89,38.64,-14.47,0.67
0.53,0.32,-0.90,38.64,-14.47,0.67
0.50,0.31,-0.87,44.62,-14.53,-3.97
0.50,0.31,-0.87,44.62,-14.53,-3.97
0.45,0.32,-0.86,49.50,-13.06,-7.08
0.45,0.32,-0.86,49.50,-9.46,-10.07
0.42,0.36,-0.81,51.70,-9.46,-10.07
0.36,0.40,-0.76,52.55,-2.87,-13.31
0.36,0.40,-0.76,52.55,-2.87,-13.31
0.34,0.40,-0.70,54.69,8.24,-18.31
0.34,0.40,-0.70,54.69,8.24,-18.31
0.35,0.41,-0.75,55.79,27.04,-21.42
0.35,0.42,-0.88,53.53,43.88,-22.89
0.35,0.42,-0.88,53.53,43.88,-22.89

0.11,0.41,-2.18,32.96,276.37,13.73
0.11,0.41,-2.18,32.96,276.37,13.73
0.32,0.40,-2.56,37.66,207.95,13.73
0.32,0.40,-2.56,29.72,123.17,9.28
0.43,0.42,-2.81,29.72,123.17,9.28
0.47,0.35,-2.83,13.37,41.69,-3.66
0.47,0.35,-2.83,13.37,41.69,-3.66
0.41,0.31,-2.58,-4.27,-38.82,-18.55
0.41,0.31,-2.58,-4.27,-38.82,-28.81
0.27,0.33,-2.21,-19.10,-111.33,-28.81
0.10,0.32,-1.80,-26.92,-161.87,-39.49
0.10,0.32,-1.80,-26.92,-161.87,-39.49
-0.03,0.26,-1.44,-23.38,-191.28,-48.89
-0.03,0.26,-1.44,-19.10,-202.39,-54.26
-0.14,0.19,-1.18,-19.10,-202.39,-54.26
-0.17,0.05,-1.07,-9.95,-200.07,-50.72
-0.17,0.05,-1.07,-9.95,-200.07,-50.72
-0.16,-0.03,-1.06,2.20,-197.39,-37.23
-0.16,-0.03,-1.04,7.08,-201.60,-18.07
-0.13,-0.00,-1.04,7.08,-201.60,-18.07
-0.08,0.09,-1.00,8.06,-202.39,-1.77
-0.08,0.09,-1.00,8.06,-202.39,-1.77
-0.01,0.18,-0.97,2.50,-195.92,7.08
0.09,0.25,-0.91,-6.59,-185.00,9.83
0.06,0.25,-0.91,-6.59,-185.00,9.83
0.14,0.30,-0.85,-11.96,-175.11,8.61
0.14,0.30,-0.85,-11.96,-175.11,8.61
0.20,0.31,-0.78,-15.20,-168.88,5.31
0.20,0.31,-0.72,-11.54,-168.88,3.85
0.25,0.31,-0.74,-11.54,-168.88,3.85
0.24,0.35,-0.64,-3.85,-172.61,4.33
0.24,0.35,-0.64,-3.85,-172.61,4.33
0.20,0.37,-0.50,4.27,-167.30,1.53
0.20,0.37,-0.50,9.83,-148.74,-5.07
0.18,0.33,-0.39,9.83,-148.74,-5.07
0.18,0.30,-0.38,12.33,-121.52,-10.07
0.18,0.30,-0.38,12.33,-121.52,-10.07
0.20,0.28,-0.45,12.15,-92.53,-11.54
0.20,0.28,-0.45,12.15,-68.73,-10.99
0.23,0.25,-0.56,12.08,-68.73,-10.99
0.28,0.22,-0.65,12.33,-55.85,-7.08
0.28,0.22,-0.65,12.33,-55.85,-7.08
0.32,0.26,-0.70,10.74,-49.87,-1.89
0.32,0.26,-0.70,10.74,-49.87,-1.89
0.34,0.30,-0.73,9.52,-44.62,1.83
0.37,0.32,-0.75,8.42,-38.57,0.79
0.37,0.32,-0.75,8.42,-38.57,0.79
0.39,0.33,-0.78,5.25,-31.68,-2.81
0.39,0.33,-0.78,5.25,-31.68,-2.81
0.41,0.33,-0.82,2.44,-24.72,-7.14
0.41,0.33,-0.85,1.22,-20.39,-12.02
0.41,0.32,-0.86,1.22,-20.39,-12.02
0.39,0.28,-0.90,2.20,-19.84,-15.93
0.39,0.28,-0.90,2.20,-19.84,-15.93
0.37,0.22,-0.94,3.54,-21.85,-17.40
0.37,0.22,-0.94,3.54,-25.09,-14.65
0.37,0.20,-0.96,1.95,-25.09,-14.65
0.37,0.20,-0.93,-0.79,-30.64,-9.09
0.37,0.20,-0.93,-0.79,-30.64,-9.09
0.36,0.20,-0.86,-2.44,-34.12,-4.82
0.36,0.20,-0.86,-3.11,-32.59,-2.81
0.35,0.23,-0.78,-3.11,-32.59,-2.81
0.37,0.27,-0.75,-3.17,-25.21,-2.44
0.37,0.27,-0.75,-3.17,-25.21,-2.44
0.39,0.30,-0.80,-1.59,-15.50,-4.46
0.39,0.30,-0.80,1.59,-8.36,-8.36
0.39,0.32,-0.86,1.59,-8.36,-8.36
0.39,0.29,-0.93,4.52,-5.49,-13.12
0.39,0.29,-0.93,4.52,-5.49,-13.12
0.40,0.24,-0.98,5.25,-6.16,-15.32
0.40,0.24,-0.98,5.25,-10.07,-13.18
0.41,0.24,-0.97,3.60,-10.07,-13.18
0.41,0.25,-0.92,1.89,-13.85,-9.64
0.41,0.25,-0.92,1.89,-13.85,-9.64
0.40,0.27,-0.86,1.71,-14.83,-7.45
0.40,0.27,-0.86,1.71,-11.84,-6.90
0.40,0.28,-0.80,2.20,-11.84,-6.90
0.41,0.27,-0.77,4.52,-5.68,-7.93
0.41,0.27,-0.77,4.52,-5.68,-7.93
0.44,0.28,-0.77,6.77,-0.37,-9.46
0.44,0.28,-0.77,6.77,15.26,-10.93
0.45,0.29,-0.81,8.48,3.85,-10.93
0.45,0.28,-0.82,11.54,6.04,-13.49
0.45,0.28,-0.82,11.54,6.04,-13.49
0.44,0.28,-0.79,13.06,6.10,-15.87
0.44,0.28,-0.79,13.06,6.10,-15.87
0.44,0.25,-0.79,15.20,6.59,-17.40
0.44,0.25,-0.79,18.37,6.77,-17.27
0.45,0.25,-0.81,18.37,6.77,-17.27
0.46,0.23,-0.87,19.84,4.64,-15.99
0.46,0.23,-0.87,19.84,4.64,-15.99
0.46,0.17,-0.94,18.62,0.18,-14.53
0.46,0.17,-0.94,18.62,0.18,-14.53
0.44,0.17,-0.96,13.12,-6.29,-10.56
0.42,0.20,-0.90,5.86,-11.47,-6.35
0.42,0.20,-0.90,5.86,-11.47,-6.35
0.41,0.22,-0.83,0.79,-12.82,-3.85
0.41,0.22,-0.83,0.79,-12.82,-3.85
0.41,0.24,-0.78,-0.79,-9.77,-1.59
0.41,0.24,-0.75,1.10,-5.00,0.73
0.41,0.25,-0.75,1.10,-5.00,0.73
0.41,0.24,-0.75,4.15,-0.37,2.99
0.41,0.24,-0.75,4.15,-0.37,2.99
0.42,0.24,-0.78,6.59,5.68,5.62
0.42,0.24,-0.78,6.59,5.68,8.00
0.42,0.26,-0.81,7.45,10.56,8.00
0.42,0.27,-0.83,7.32,12.21,9.95
0.42,0.27,-0.83,7.32,12.21,9.95
0.42,0.27,-0.85,7.14,11.66,11.35
0.42,0.27,-0.85,7.14,11.66,11.35
0.43,0.29,-0.86,6.10,9.64,12.21
0.43,0.29,-0.86,6.10,9.64,13.18
0.44,0.30,-0.86,4.15,7.63,13.18
0.46,0.32,-0.85,2.93,5.92,14.22
0.46,0.32,-0.85,2.93,5.92,14.22
0.46,0.34,-0.83,1.89,4.52,14.77
0.46,0.34,-0.83,1.89,4.52,14.77
0.46,0.34,-0.81,0.18,4.21,14.16
0.46,0.34,-0.81,0.18,5.80,13.00
0.46,0.34,-0.80,-2.38,5.80,13.00
0.47,0.34,-0.80,-3.66,7.20,12.45
0.47,0.34,-0.80,-3.66,7.20,12.45
0.48,0.36,-0.80,-3.60,8.30,12.15
0.48,0.36,-0.80,-3.60,8.30,12.15
0.49,0.38,-0.82,-3.23,9.16,10.86
0.49,0.38,-0.85,-2.44,9.40,7.20
0.47,0.37,-0.85,-2.44,9.40,7.20
0.46,0.31,-0.89,-0.37,9.89,2.50

0.20,0.31,-2.02,-3.30,220.89,85.45
0.20,0.31,-2.02,-3.30,220.89,85.45
0.39,0.45,-2.32,-15.38,185.91,73.97
0.39,0.45,-2.41,-33.87,133.54,51.76
0.52,0.57,-2.43,-33.87,133.54,51.76
0.52,0.61,-2.37,-44.74,69.58,21.36
0.52,0.61,-2.37,-44.74,69.58,21.36
0.40,0.54,-2.20,-39.92,2.20,-5.86
0.40,0.54,-2.20,-39.92,2.20,-5.86
0.22,0.46,-1.90,-29.30,-53.96,-28.44
0.05,0.35,-1.57,-17.03,-95.70,-46.51
0.05,0.35,-1.57,-17.03,-95.70,-46.51
-0.10,0.20,-1.27,-6.59,-116.39,-60.67
-0.10,0.20,-1.27,-6.59,-116.39,-76.29
-0.19,0.02,-1.07,0.55,-121.22,-65.55
-0.24,-0.08,-0.97,3.97,-117.07,-59.33
-0.24,-0.08,-0.97,3.97,-117.07,-59.33
-0.25,-0.14,-0.94,4.94,-110.11,-45.29
-0.25,-0.14,-0.94,4.94,-106.02,-28.20
-0.24,-0.15,-0.91,5.13,-106.02,-28.20
-0.20,-0.11,-0.90,4.46,-102.11,-10.01
-0.20,-0.11,-0.90,4.46,-102.11,-10.01
-0.13,-0.07,-0.93,0.55,-94.12,5.43
-0.13,-0.07,-0.93,-2.56,-88.87,18.01
-0.05,-0.04,-0.91,-2.56,-88.87,18.01
0.00,0.02,-0.83,-3.85,-87.34,29.97
0.00,0.02,-0.83,-3.85,-87.34,29.97
0.05,0.09,-0.76,-3.23,-82.09,38.33
0.05,0.09,-0.76,0.43,-73.06,42.11
0.09,0.13,-0.72,0.43,-73.06,42.11
0.11,0.13,-0.73,10.62,-65.73,46.02
0.11,0.13,-0.73,10.62,-65.73,46.02
0.14,0.17,-0.74,16.72,-58.29,47.79
0.14,0.17,-0.74,16.72,-58.29,47.79
0.17,0.22,-0.79,16.97,-48.71,46.81
0.21,0.27,-0.85,18.25,-40.41,43.95
0.21,0.27,-0.85,18.25,-40.41,43.95
0.24,0.30,-0.89,19.29,-36.50,39.12
0.24,0.30,-0.89,19.29,-36.50,39.12
0.26,0.32,-0.91,20.51,-35.52,31.62
0.26,0.32,-0.91,22.40,-37.60,21.91
0.26,0.29,-0.94,22.40,-37.60,21.91
0.23,0.21,-0.94,25.33,-44.01,14.89
0.23,0.21,-0.94,25.33,-44.01,14.89
0.20,0.17,-0.91,25.94,-49.74,14.04
0.20,0.17,-0.91,25.94,-49.74,14.04
0.19,0.16,-0.86,24.90,-51.70,17.46
0.19,0.19,-0.82,21.85,-49.32,20.02
0.20,0.19,-0.82,21.85,-49.32,20.02
0.20,0.19,-0.82,19.96,-43.09,17.88
0.20,0.19,-0.82,19.96,-43.09,17.88
0.20,0.16,-0.83,19.84,-37.41,14.65
0.20,0.16,-0.83,19.84,-37.41,14.16
0.18,0.14,-0.85,21.67,-33.51,14.16
0.18,0.13,-0.87,21.24,-29.72,16.17
0.18,0.13,-0.87,21.24,-29.72,16.17
0.19,0.17,-0.87,18.86,-27.22,20.08
0.19,0.17,-0.87,18.86,-27.22,20.08
0.20,0.24,-0.90,17.40,-24.78,23.99
0.20,0.24,-0.90,16.30,-21.79,24.05
0.24,0.28,-0.95,16.30,-21.79,24.05
0.26,0.26,-0.97,17.33,-21.85,20.81
0.26,0.26,-0.97,17.33,-21.85,20.81
0.26,0.24,-0.93,19.78,-25.63,18.19
0.26,0.24,-0.93,19.78,-25.63,18.19
0.27,0.25,-0.91,21.48,-28.87,17.52
0.27,0.28,-0.89,24.23,-32.04,17.52
0.26,0.25,-0.89,24.23,-32.04,17.52
0.25,0.25,-0.87,28.87,-35.83,16.85
0.25,0.25,-0.87,28.87,-35.83,16.85
0.24,0.29,-0.86,30.15,-36.62,15.14
0.24,0.29,-0.86,30.15,-34.91,10.68
0.22,0.29,-0.87,31.01,-34.91,10.68
0.20,0.24,-0.88,33.14,-33.51,6.35
0.20,0.24,-0.88,33.14,-33.51,6.35
0.19,0.23,-0.86,32.90,-31.68,6.04
0.19,0.23,-0.86,32.90,-31.68,6.04
0.19,0.25,-0.82,29.97,-27.28,6.35
0.19,0.22,-0.80,26.61,-19.71,6.23
0.22,0.25,-0.80,26.61,-19.71,6.23
0.26,0.23,-0.80,23.13,-12.21,7.02
0.26,0.23,-0.80,23.13,-12.21,7.02
0.30,0.25,-0.82,19.96,-7.69,10.62
0.30,0.25,-0.82,19.96,-7.69,10.62
0.35,0.35,-0.86,16.36,-5.19,14.16
0.37,0.40,-0.91,14.95,-4.39,11.90
0.37,0.40,-0.91,14.95,-4.39,11.90
0.41,0.34,-0.91,16.17,-5.19,6.04
0.41,0.34,-0.91,16.17,-5.19,6.04
0.47,0.34,-0.88,10.62,-5.86,6.23
0.47,0.34,-0.88,10.62,-5.86,14.71
0.47,0.45,-0.95,-4.52,-2.81,14.71
0.41,0.49,-1.02,-12.08,-3.11,12.51
0.41,0.49,-1.02,-12.08,-3.11,12.51
0.36,0.37,-1.03,-10.44,-8.18,-4.03
0.36,0.37,-1.03,-10.44,-8.18,-4.03
0.30,0.27,-1.00,-8.18,-13.18,-15.75
0.27,0.26,-0.97,-6.16,-16.54,-17.27
0.27,0.26,-0.97,-6.16,-16.54,-17.27
0.26,0.28,-0.98,-1.22,-16.97,-15.69
0.26,0.28,-0.98,-1.22,-16.97,-15.69
0.28,0.24,-1.04,5.07,-15.38,-16.11
0.31,0.19,-1.08,6.59,-14.47,-17.15
0.31,0.19,-1.08,6.59,-14.47,-17.15
0.32,0.18,-1.08,6.53,-16.66,-14.47
0.32,0.18,-1.08,6.53,-16.66,-14.47
0.32,0.19,-1.03,6.04,-19.96,-9.22
0.32,0.21,-0.97,6.59,-23.62,-3.60
0.32,0.21,-0.97,6.59,-23.62,-3.60
0.33,0.24,-0.92,6.35,-24.29,2.08
0.33,0.24,-0.92,6.35,-24.29,2.08
0.33,0.30,-0.87,4.58,-23.19,6.23
0.33,0.30,-0.87,4.33,-20.94,6.71
0.32,0.33,-0.83,4.33,-20.94,6.71
0.31,0.33,-0.83,4.76,-18.19,5.92
0.31,0.33,-0.83,4.76,-18.19,5.92
0.31,0.32,-0.86,5.07,-16.05,5.92
0.31,0.32,-0.86,5.07,-16.05,5.92
0.32,0.32,-0.87,5.19,-16.11,7.14
0.32,0.34,-0.86,4.88,-18.37,8.73
0.32,0.34,-0.86,4.88,-18.37,8.73
0.34,0.37,-0.84,4.52,-19.71,9.16
0.34,0.37,-0.84,4.52,-19.71,9.16
0.36,0.38,-0.84,3.97,-18.62,7.32
0.36,0.38,-0.84,3.97,-18.62,4.64
0.39,0.36,-0.84,3.23,-17.58,4.64
0.40,0.34,-0.87,3.60,-18.43,3.30
0.40,0.34,-0.87,3.60,-18.43,3.30

0.47,0.81,-1.86,-78.55,241.82,93.38
0.47,0.81,-1.86,-78.55,241.82,93.38
0.63,0.87,-2.03,-58.96,187.44,56.58
0.63,0.87,-2.16,-28.87,110.29,25.88
0.67,0.87,-2.16,-28.87,110.29,25.88
0.62,0.91,-2.32,-1.34,34.91,2.87
0.62,0.91,-2.32,-1.34,34.91,2.87
